ชื่อสินค้า,ต้นทุน,ราคาขาย,หน่วยนับ,สต็อก,หมวดหมู่,SKU
M150  (ลัง ),520,550,ลัง ,100,เครื่องดื่ม,M150-ลั-306
M150 แพ็ค,104,110,-,100,เครื่องดื่ม,M150--603
กระทิงแดง (ลัง),520,550,ลัง,100,เครื่องดื่ม,กระท--735
กระทิงแดง  แพค,104,110,-,100,เครื่องดื่ม,กระท--899
คาราบาวแดง  (ลัง),420,450,ลัง,98,เครื่องดื่ม,กาแฟ--360
คาราบาวแดง แพ็ค,85,90,-,100,เครื่องดื่ม,คารา--917
ลิโพ  (ลัง ),520,550,ลัง ,100,เครื่องดื่ม,ลิโพ--307
ลิโพ แพ็ค,105,110,-,100,เครื่องดื่ม,ลิโพ--285
สปอนเชอร์  (ลัง),235,260,ลัง,100,เครื่องดื่ม,สปอน--764
สปอนเซอร์ (ขวด),10,12,ขวด,100,เครื่องดื่ม,สปอน--969
เครื่องดื่ม 10,8,10,-,100,เครื่องดื่ม,เครื--832
เบอดี้แดง ป๋อง,14,17,-,100,เครื่องดื่ม,เบอด--692
เบอร์ดี ถาด,420,450,-,100,เครื่องดื่ม,เบอร--933
เนส ถาด,420,450,-,100,เครื่องดื่ม,เนสถ--915
เป๊ปซี่  42,38,42,-,100,เครื่องดื่ม,เปบซ--592
เป๊ปซี่  32,27,32,-,100,เครื่องดื่ม,เป๊ป--119
เป๊ปซี่ 14,13,14,-,100,เครื่องดื่ม,เป๊ป--582
เปปซี่แพ็ค(10),218,228,10,100,เครื่องดื่ม,เปปซ--839
เปปซี่ 10,9,10,-,100,เครื่องดื่ม,เปปซ--559
โซดาขวด 10บาท,8,10,-,69,เครื่องดื่ม,โซดา--431
โสมตังกุยจับ,80,90,-,100,เครื่องดื่ม,โสมต--891
ขนม 20,16,20,-,100,นม,ขนม2--368
ขนม 30,27,30,-,100,นม,ขนมห--718
ดัชมิล แพ็ค,35,36,-,100,นม,ดัชม--736
ดัชมิล กล่อง,9,10,-,100,นม,นมเป--164
ไวตามิลล์ ลัง,330,360,-,100,นม,ไวตา--670
ไวตามิลค์ ขวด,14,17,-,100,นม,นมไว--934
วัวแดง จืด (แพค),9,10,แพค,100,นม,บาคู--318
วัวแดง จืด  กล่อง,,,-,100,นม,วัวแ--955
วัวแดงหวาน (แพค),52,60,แพค,100,นม,วัวแ-แพ-572
วัวแดงหวาน กล่อง,13,15,-,100,นม,วัวแ--425
โอวัลติล  (แพค),8,12,แพค,100,นม,โอวั-แพ-656
โอวัลติล กล่อง,,36,-,100,นม,โอวั--101
แลคตาซอย 1แพค,63,69,-,100,นม,แลคต--500
แลคตาซอย  กล่อง,10.5,12,-,100,นม,แลคต--897
ไวตามิลล์ แพค,78,84,-,100,นม,ไวตา--595
น้ำสิงห์(ลัง),60,75,ลัง,100,น้ำโซดาโค้ก,น้ำส--342
น้ำสิงห์80,60,80,-,100,น้ำโซดาโค้ก,น้ำส--652
ลังโซดา,200,250,-,97,น้ำโซดาโค้ก,ลังโ--755
แดงไม่มีน้ำตาล10,100,108,-,100,น้ำโซดาโค้ก,แดงไ--164
โค้ก,200,215,-,2,น้ำโซดาโค้ก,โค้ก--973
โค้ก ขวดแก้ว,8,10,-,98,น้ำโซดาโค้ก,โค้ก--695
โค้ก(ลัง),220,240,ลัง,86,น้ำโซดาโค้ก,โค้ก--526
โค้ก​ลิตร​ขวดแก้ว​ (ลัง),220,250,ลัง,100,น้ำโซดาโค้ก,โค้ก--152
โซดา ถาด,185,220,-,98,น้ำโซดาโค้ก,โซดา--488
โซดาขวด,5,10,-,100,น้ำโซดาโค้ก,โซดา--623
โซดาลัง,130,160,-,100,น้ำโซดาโค้ก,โซดา--935
กฤษสุวรรณ,35,40,-,100,น้ำดื่ม น้ำถัง,กฤษส--498
ขวดนิ่ม 1 โหล,30,35,-,100,น้ำดื่ม น้ำถัง,ขวดน--345
ถังน้ำ,60,85,-,100,น้ำดื่ม น้ำถัง,ถังน--952
นำ้ยันฮี140,130,140,-,100,น้ำดื่ม น้ำถัง,นำ้ย--943
น้ำขวดนิ่ม,10,20,-,100,น้ำดื่ม น้ำถัง,น้ำข--420
น้ำขวดนิ่ม 1 โหล,29,40,-,100,น้ำดื่ม น้ำถัง,น้ำข--632
น้ำคริสตัลเล็ก,43,50,-,100,น้ำดื่ม น้ำถัง,น้ำค--426
น้ำคริสตัลใหญ่,43,50,-,100,น้ำดื่ม น้ำถัง,น้ำค--905
น้ำจิ๋ว,25,40,-,100,น้ำดื่ม น้ำถัง,น้ำจ--964
น้ำดื่มสิงห์ เล็ก,43,50,-,100,น้ำดื่ม น้ำถัง,น้ำด--212
น้ำต้นไผ่,32,40,-,100,น้ำดื่ม น้ำถัง,น้ำต--858
น้ำถัง20,10,20,-,100,น้ำดื่ม น้ำถัง,น้ำถ--725
น้ำถังใส,10,15,-,100,น้ำดื่ม น้ำถัง,น้ำถ--630
น้ำถังใส 17,10,17,-,99,น้ำดื่ม น้ำถัง,น้ำถ--244
น้ำทิพย์ ใหญ่,40,45,-,100,น้ำดื่ม น้ำถัง,น้ำท--454
น้ำทิพย์เล็ก,40,45,-,100,น้ำดื่ม น้ำถัง,น้ำท--931
น้ำทิพย์ใหญ่ 48,41,48,-,100,น้ำดื่ม น้ำถัง,น้ำท--520
น้ำนิ่มโหล,30,35,-,100,น้ำดื่ม น้ำถัง,น้ำน--400
น้ำลังชมพู,30,40,-,100,น้ำดื่ม น้ำถัง,น้ำล--428
น้ำวินวิน3แพ็ค100,80,100,-,100,น้ำดื่ม น้ำถัง,น้ำว--337
น้ำสิงห์ใหญ่ 1.5,42,50,-,100,น้ำดื่ม น้ำถัง,น้ำส--809
น้ำแก้ว,42,60,-,98,น้ำดื่ม น้ำถัง,น้ำแ--507
น้ำแผ็คใหญ่,31,40,-,100,น้ำดื่ม น้ำถัง,น้ำแ--874
น้ำแร่​ เพอร่า,82,89,-,100,น้ำดื่ม น้ำถัง,น้ำแ--768
บอย แดง,50,55,-,100,น้ำดื่ม น้ำถัง,บอยแ--562
วิน วิน,25,35,-,98,น้ำดื่ม น้ำถัง,วินว--754
อะควาฟิน่า ใหญ่,35,45,-,100,น้ำดื่ม น้ำถัง,อะคว--120
อะควาฟีน่า ใหญ่,35,45,-,100,น้ำดื่ม น้ำถัง,อะคว--190
